member_id,book_id,Percentage_Comp,reading_time_date
61473D6E-F65D-4F4C-8AC0-BA85C80F9E0E,110600107,100,2/11/2017 0:43
9A0DFB4A-C93E-4251-A994-8CD16D3F2DF8,110600107,100,2/10/2017 1:05
B7BE5741-99F7-4C1A-8BB3-5F4CF7F24571,110600107,100,2/11/2017 0:33
CC672AE7-41C9-425B-BC38-E473E1440F70,110600107,99.7,2/10/2017 4:11
61473D6E-F65D-4F4C-8AC0-BA85C80F9E0E,110600108,100,2/11/2017 2:09
9A0DFB4A-C93E-4251-A994-8CD16D3F2DF8,110600108,100,2/10/2017 1:50
B7BE5741-99F7-4C1A-8BB3-5F4CF7F24571,110600108,100,2/11/2017 16:43
CC672AE7-41C9-425B-BC38-E473E1440F70,110600108,99.7,2/10/2017 12:07
545A42D9-798A-40FF-9E0C-49B34B9CCD7F,110600297,100,2/10/2017 17:45
919179B6-A56F-42D4-B6E3-89B04CA4174E,110600297,6,2/10/2017 13:47
96C89D46-DB61-460E-BE68-390EAAA0CA96,110600297,100,2/11/2017 20:00
B23BF0F4-D70D-4D1F-9B94-93F9D065C01A,110600297,98.1,2/11/2017 11:23
D2D104EA-0073-44EB-83EB-705EE7F09E73,110600297,87,2/11/2017 6:01
D360B1FE-82C8-4C14-8441-6CFD650E4DCB,110600297,69,2/10/2017 9:27
F8EF01DE-BC9A-4810-8C54-DD86116CAA59,110600297,99,2/10/2017 21:37
545A42D9-798A-40FF-9E0C-49B34B9CCD7F,110600298,100,2/11/2017 9:21
545A42D9-798A-40FF-9E0C-49B34B9CCD7F,110600299,100,2/11/2017 20:09
2D3C5BFD-5648-4A57-B67B-F279F51A7408,110600300,99.2,2/10/2017 15:30
512C37CC-EAAE-4A63-97DD-F8BB9A3CD638,110600382,95,2/11/2017 15:30
F377C1ED-A845-4180-8A77-B471F825F9D4,110600382,1,2/10/2017 18:46
27E5DD10-9108-4586-A3E8-32E9BA1006C1,110600383,16,2/10/2017 20:24
303DDB92-E15B-4181-BAFD-6F40FA454C9C,110600383,70,2/11/2017 9:41
512C37CC-EAAE-4A63-97DD-F8BB9A3CD638,110600383,90,2/14/2017 18:17
84C194B4-6E10-4678-B2AD-87011A56BB81,110600383,60,2/11/2017 9:56
A371C021-3E97-4BB0-B93B-F701EFF86505,110600383,100,2/11/2017 2:42
C10D5160-36B7-47F9-AA72-26D696EEE8A7,110600383,88,2/11/2017 9:52
D93C0A1A-C618-43CE-9D6A-E3E85DAB1742,110600383,99.7,2/9/2017 21:29
D49005E1-BBC2-4656-84DF-0D0C3D0EEC13,110600433,49,2/10/2017 22:42
1454047A-E993-4B78-B915-47D8454DC42D,110600434,100,2/10/2017 22:35
265C1261-9EB0-452D-90F8-1F3C35535145,110600434,100,2/11/2017 8:40
3AE096DA-F759-4726-AE4B-8A0267D9D7A0,110600434,3,2/10/2017 19:24
B306F826-8EDF-43E6-809C-6C9841101024,110600434,100,2/11/2017 0:05
C842AF53-359F-411E-80B0-B557BC62BE70,110600434,100,2/11/2017 0:03
D49005E1-BBC2-4656-84DF-0D0C3D0EEC13,110600434,65,2/11/2017 23:41
D5D27D3A-1595-4B10-A1BA-A216DC3BF0E1,110600434,33,2/9/2017 20:17
E51D8868-93D7-4C28-AD1B-648D6632F337,110600434,99.8,2/10/2017 19:00
265C1261-9EB0-452D-90F8-1F3C35535145,110600435,100,2/11/2017 13:17
B306F826-8EDF-43E6-809C-6C9841101024,110600435,100,2/10/2017 23:59
C842AF53-359F-411E-80B0-B557BC62BE70,110600435,100,2/11/2017 10:12
B306F826-8EDF-43E6-809C-6C9841101024,110600436,8,2/11/2017 0:07
B899C3DC-5477-41CE-81D6-484CED1525D6,110600436,99.5,2/10/2017 19:22
C842AF53-359F-411E-80B0-B557BC62BE70,110600436,100,2/12/2017 7:14
B899C3DC-5477-41CE-81D6-484CED1525D6,110600437,99,2/10/2017 22:42
B899C3DC-5477-41CE-81D6-484CED1525D6,110600438,99.1,2/11/2017 13:00
9E09C46E-6834-4E5F-ADF1-4C4D4CFBD260,110600478,100,2/13/2017 17:32
9E09C46E-6834-4E5F-ADF1-4C4D4CFBD260,110600479,100,2/14/2017 13:18
9E09C46E-6834-4E5F-ADF1-4C4D4CFBD260,110600480,100,2/15/2017 13:03
9E09C46E-6834-4E5F-ADF1-4C4D4CFBD260,110600481,100,2/15/2017 9:55
9E09C46E-6834-4E5F-ADF1-4C4D4CFBD260,110600482,100,2/15/2017 19:00
9E09C46E-6834-4E5F-ADF1-4C4D4CFBD260,110600483,15,2/15/2017 19:32
80A32259-77A6-40B5-8538-2C6D401E37B9,110600544,8,2/12/2017 12:30
171A389E-2E42-4669-B5D5-1D588B2AD135,110600545,99.6,2/10/2017 22:27
3674E576-7C62-4629-9685-0392F3975DF1,110600545,100,2/11/2017 14:32
545A42D9-798A-40FF-9E0C-49B34B9CCD7F,110600545,48,2/9/2017 23:56
8CE6D37C-AD89-431F-9748-96072D24DA5F,110600545,1,2/10/2017 19:28
97665C1E-5CD1-49BB-99FE-1392AEAEAF88,110600545,25,2/10/2017 3:52
DE5EBA85-39AF-440B-87D1-FA65462F1D3F,110600545,100,2/10/2017 10:39
96E96841-9F69-46AE-A4AE-6BAAC09BE2A4,110600626,100,2/11/2017 12:25
E2A33446-0A01-4123-965D-27A637CFAA23,110600628,22,2/14/2017 3:07
1AC85901-9CC2-4B67-B995-41B3E4597BFC,110600629,100,2/9/2017 19:22
1AC85901-9CC2-4B67-B995-41B3E4597BFC,110600630,100,2/11/2017 10:09
1AC85901-9CC2-4B67-B995-41B3E4597BFC,110600631,100,2/11/2017 20:09
D12B34EB-1532-416A-9C22-270BBB4EA95D,110700011,50,2/11/2017 23:14
918D52E7-4D3F-4097-B39C-F8B43EA12F5D,110700090,100,2/10/2017 21:26
34CC7A34-1C22-46E0-98FB-DD6254A1218A,110700543,100,2/9/2017 22:18
E5E4C6DD-DDCE-4675-B78D-7C54E6738252,110800206,38,2/10/2017 20:01
53CCF001-4D34-4574-87F2-8F0423433094,110800427,92,2/10/2017 14:47
43985F67-D6B6-4B65-9077-B95D1ABFD8A3,110800526,100,2/11/2017 20:20
34CC7A34-1C22-46E0-98FB-DD6254A1218A,110900007,100,2/10/2017 14:19
7876FA7A-AB09-40C0-92A6-E651D1EC35C7,110900725,100,2/9/2017 21:38
7876FA7A-AB09-40C0-92A6-E651D1EC35C7,110900726,100,2/9/2017 22:52
7876FA7A-AB09-40C0-92A6-E651D1EC35C7,110900727,99,2/10/2017 0:08
13F7F098-639E-442A-AB1B-57F1DBD16EC5,111000240,81,2/12/2017 19:06
13F7F098-639E-442A-AB1B-57F1DBD16EC5,111000241,96.2,2/14/2017 17:08
E993FDA2-7D05-41F3-AECD-1CED0E44117C,111000242,100,2/10/2017 11:24
5B4EA780-3367-4138-927C-894ADD1246A6,111001066,1,2/9/2017 22:45
0B004081-6ACA-4E58-AF31-206DE6E108C7,111100178,25,2/10/2017 23:00
0B004081-6ACA-4E58-AF31-206DE6E108C7,111100179,25,2/10/2017 22:58
03B3FFC4-44EF-4539-90D9-710D03BF0873,111100196,6.1224,2/13/2017 14:32
97007A5F-2E52-496A-AD9B-C43962823AD2,120100288,100,2/9/2017 19:44
FB4651F7-0946-48D6-A765-2B65933CB2DB,120100288,99.8,2/10/2017 19:12
97007A5F-2E52-496A-AD9B-C43962823AD2,120100289,100,2/10/2017 11:01
FB4651F7-0946-48D6-A765-2B65933CB2DB,120100289,99.8,2/11/2017 17:19
97007A5F-2E52-496A-AD9B-C43962823AD2,120100290,100,2/10/2017 16:04
93D814A0-792A-433B-BABC-27F32648A6C7,120100291,100,2/11/2017 9:47
97007A5F-2E52-496A-AD9B-C43962823AD2,120100291,100,2/10/2017 19:02
DE0548FA-3BEF-4DA6-8457-AFC2E6D087FE,120100291,100,2/10/2017 0:58
93D814A0-792A-433B-BABC-27F32648A6C7,120100292,100,2/11/2017 23:13
97007A5F-2E52-496A-AD9B-C43962823AD2,120100292,100,2/10/2017 20:28
DE0548FA-3BEF-4DA6-8457-AFC2E6D087FE,120100292,100,2/10/2017 21:44
97007A5F-2E52-496A-AD9B-C43962823AD2,120100293,100,2/10/2017 23:25
DE0548FA-3BEF-4DA6-8457-AFC2E6D087FE,120100293,100,2/11/2017 16:00
